Snapshotdt,ApplicationID,UPB,DPD,BKRepo_Flag,NextPaymentDate,RemainingTerm,MaturityDate,NumberOfExtensions,NumberOfPayments,FundingDate,OriginalRate,CurrentRate,OriginalPayment,CurrentPayment,PTICore,DTICore,Make,Model,ModelYr,BookValue,LTVCore,OriginalAmtFinanced,OriginalTerm,BookNewUsed,BookMileage,HighFico,BookTier,FirstPaymentDate,LastPmtDate,lastExtensionDate,ChargeoffDate,MOB,DPDBucket,MOB_Lag1,UPB_Lag1,DPD_Lag1,DPDBucket_Lag1,LoanStatus,LoanStatus2,LoanStatus2_Lag1,Vintage_M,Vintage_Q,PrepayBal,DefaultBal,DQBal
2020-01-31,10018862,27516.49,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-28,0.1656,0.1656,609.24,609.24,0.1462,0.3875,CHEVROLE,EQUINOX     ,20,28574.2,0.962983740577164,27516.49,72,New,756,642,Tier 2,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10020129,12599.63,0,None,2020-03-07,72,2026-02-07,0,0,2020-01-28,0.2121,0.2121,313.62,313.62,0.095,0.2189,FORD,FUSION      ,14,9497,1.32669579867327,12599.63,72,Used,69854,514,Tier 7,2020-03-07,43852,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10020553,24058.85,0,None,2020-03-15,72,2026-02-15,0,0,2020-01-28,0.1524,0.1524,515.12,515.12,0.1688,0.5419,TOYOTA,RAV4        ,15,14954,1.60885716196335,24058.85,72,Used,72586,541,Tier 3,2020-03-15,43860,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10020639,18278.64,0,None,2020-03-08,72,2026-02-08,0,0,2020-01-21,0.1399,0.1399,378.74,378.74,0.127,0.4026,KIA,SORENTO     ,16,12665,1.44324042637189,18278.64,72,Used,64250,589,Tier 4,2020-03-08,43853,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10020979,17696.82,0,None,2020-03-09,72,2026-02-09,0,0,2020-01-22,0.1399,0.1399,366.69,366.69,0.125,0.3787,KIA,OPTIMA      ,15,12085,1.46436243276789,17696.82,72,Used,51201,579,Tier 4,2020-03-09,43854,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10021798,15684.18,0,None,2020-03-05,72,2026-02-05,0,0,2020-01-27,0.2001,0.2001,378.8,378.8,0.0524,0.3007,CHRYSLER,200,16,14625,1.07242256410256,15684.18,72,Used,38803,564,Tier 5,2020-03-05,43850,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10021972,28908.99,0,None,2020-03-13,60,2025-02-13,0,0,2020-01-24,0.1324,0.1324,664.97,664.97,0.1003,0.2517,DODGE,DURANGO     ,15,19566,1.47751149954002,28908.99,60,Used,99029,650,Tier 3,2020-03-13,43858,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10022838,35693.7,0,None,2020-02-17,72,2026-01-17,0,0,2020-01-28,0.1468,0.1468,748.55,748.55,0.087,0.1641,DODGE TR,RAM 1500 PIC,19,35475,1.00616490486258,35693.7,72,Used,20495,624,Tier 2,2020-02-17,43847,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10023361,12428.33,0,None,2020-03-03,60,2025-02-03,0,0,2020-01-22,0.2281,0.2281,352.32,352.32,0.1258,0.4472,HYUNDAI,TUCSON      ,15,11100,1.11966936936937,12428.33,60,Used,101155,544,Tier 6,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10023494,15470,0,None,2020-03-13,48,2024-02-13,0,0,2020-01-24,0.1324,0.1324,419.17,419.17,0.1075,0.2582,MERCEDES,E-CLASS     ,11,9492,1.62979351032448,15470,48,Used,111519,659,Tier 2,2020-03-13,43858,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10023798,17955.33,0,None,2020-03-02,72,2026-02-02,0,0,2020-01-22,0.1599,0.1599,391.94,391.94,0.1098,0.262,CHEVROLE,CRUZE       ,17,14150,1.26892791519435,17955.33,72,Used,34615,525,Tier 7,2020-03-02,43847,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10024319,30055.86,0,None,2020-03-15,72,2026-02-15,0,0,2020-01-28,0.1374,0.1374,618.67,618.67,0.1556,0.2805,LEXUS,ES          ,16,22631,1.32808360213866,30055.86,72,Used,22511,599,Tier 4,2020-03-15,43860,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
